created_at,status,player,normalized_player,history_matches,source_prediction_date,source_tournament,source_surface,source_confidence,reasons,notes
2026-06-26T20:30:04Z,needs_enrichment,D. Smolinskaya,d smolinskaya,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,D. Wiley,d wiley,0,2026-06-27,UTR Knoxville M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,D. Zmak,d zmak,0,2026-06-27,UTR PTT Umag Men 02,Clay,0.504,low_confidence;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,E. Baraniakova,e baraniakova,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,E. Brownback,e brownback,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,E. Crivei,e crivei,0,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,E. Ivanov,e ivanov,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,E. Mireles,e mireles,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,E. Myers,e myers,0,2026-06-27,UTR Knoxville W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,F. Balshaw,f balshaw,0,2026-06-27,Târgu Mureș,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,F. Vazquez,f vazquez,0,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,G. Arangio,g arangio,0,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,G. Avram,g avram,0,2026-06-27,UTR Knoxville M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,G. Bernadsky,g bernadsky,0,2026-06-27,UTR PTT Waco Men 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,G. Guenther,g guenther,0,2026-06-27,UTR Knoxville W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
