date,tournament,tournament_level,surface,round,winner,loser,score,best_of,winner_rank,loser_rank,minutes,tour,aces,double_faults,first_serve_pct,first_serve_points_won,second_serve_points_won,break_points_saved,break_points_converted,total_points_won
20240108,Adelaide,250,Hard,R32,Jordan Thompson,Facundo Diaz Acosta,6-2 6-2,3,47.0,93.0,84.0,ATP,1.0,0.0,26.0,22.0,11.0,3.0,3.0,Unknown
20240108,Adelaide,250,Hard,R32,Jack Draper,Sebastian Baez,6-1 6-3,3,62.0,26.0,78.0,ATP,5.0,2.0,31.0,25.0,10.0,0.0,0.0,Unknown
20240108,Adelaide,250,Hard,R32,Miomir Kecmanovic,Mackenzie McDonald,6-4 6-2,3,55.0,42.0,73.0,ATP,2.0,2.0,34.0,23.0,7.0,3.0,5.0,Unknown
20240108,Adelaide,250,Hard,R32,Alex Bolt,Thiago Seyboth Wild,6-3 6-2,3,325.0,78.0,72.0,ATP,7.0,1.0,27.0,22.0,10.0,0.0,0.0,Unknown
20240108,Adelaide,250,Hard,R16,Nicolas Jarry,Matteo Arnaldi,6-7(5) 7-6(7) 6-4,3,18.0,41.0,207.0,ATP,9.0,3.0,81.0,62.0,19.0,5.0,8.0,Unknown
20240108,Adelaide,250,Hard,R16,Jiri Lehecka,Dusan Lajovic,7-5 4-6 6-3,3,32.0,52.0,139.0,ATP,8.0,6.0,58.0,43.0,21.0,9.0,12.0,Unknown
20240108,Adelaide,250,Hard,R16,Sebastian Korda,Lorenzo Sonego,6-4 7-6(10),3,29.0,46.0,104.0,ATP,6.0,3.0,35.0,32.0,15.0,3.0,5.0,Unknown
20240108,Adelaide,250,Hard,R16,Christopher O'Connell,Alexander Shevchenko,6-3 6-1,3,71.0,48.0,60.0,ATP,12.0,1.0,28.0,25.0,10.0,0.0,0.0,Unknown
20240108,Adelaide,250,Hard,R16,Alexander Bublik,Daniel Evans,4-6 6-2 6-1,3,31.0,40.0,122.0,ATP,21.0,13.0,49.0,40.0,14.0,8.0,10.0,Unknown
20240108,Adelaide,250,Hard,R16,Lorenzo Musetti,Jordan Thompson,6-4 6-1,3,25.0,47.0,85.0,ATP,3.0,0.0,24.0,23.0,9.0,0.0,0.0,Unknown
20240108,Adelaide,250,Hard,R16,Jack Draper,Miomir Kecmanovic,5-7 7-6(9) 7-6(7),3,62.0,55.0,219.0,ATP,12.0,4.0,76.0,57.0,30.0,9.0,12.0,Unknown
20240108,Adelaide,250,Hard,R16,Tommy Paul,Alex Bolt,6-3 6-2,3,14.0,325.0,69.0,ATP,11.0,0.0,31.0,25.0,15.0,2.0,2.0,Unknown
20240108,Adelaide,250,Hard,QF,Jiri Lehecka,Nicolas Jarry,6-4 7-5,3,32.0,18.0,100.0,ATP,9.0,0.0,39.0,31.0,11.0,0.0,1.0,Unknown
20240108,Adelaide,250,Hard,QF,Sebastian Korda,Christopher O'Connell,6-4 6-4,3,29.0,71.0,89.0,ATP,10.0,1.0,38.0,31.0,16.0,3.0,3.0,Unknown
20240108,Adelaide,250,Hard,QF,Alexander Bublik,Lorenzo Musetti,6-3 6-7(4) 7-5,3,31.0,25.0,158.0,ATP,17.0,11.0,57.0,53.0,14.0,5.0,8.0,Unknown
20240108,Adelaide,250,Hard,QF,Jack Draper,Tommy Paul,6-1 6-4,3,62.0,14.0,80.0,ATP,3.0,2.0,24.0,22.0,13.0,1.0,1.0,Unknown
20240108,Adelaide,250,Hard,SF,Jiri Lehecka,Sebastian Korda,6-2 6-1,3,32.0,29.0,72.0,ATP,7.0,1.0,39.0,30.0,11.0,3.0,3.0,Unknown
20240108,Adelaide,250,Hard,SF,Jack Draper,Alexander Bublik,7-6(2) 6-4,3,62.0,31.0,96.0,ATP,8.0,0.0,35.0,28.0,16.0,1.0,3.0,Unknown
20240108,Adelaide,250,Hard,F,Jiri Lehecka,Jack Draper,4-6 6-4 6-3,3,32.0,62.0,128.0,ATP,8.0,1.0,60.0,45.0,18.0,8.0,9.0,Unknown
20240108,Auckland,250,Hard,R32,Luca Van Assche,J.J. Wolf,6-4 6-2,3,87.0,54.0,93.0,ATP,6.0,2.0,38.0,31.0,13.0,1.0,1.0,Unknown
20240108,Auckland,250,Hard,R32,Alejandro Tabilo,Borna Gojo,1-6 6-3 6-2,3,82.0,91.0,91.0,ATP,10.0,0.0,44.0,33.0,13.0,2.0,4.0,Unknown
20240108,Auckland,250,Hard,R32,Botic van de Zandschulp,Christopher Eubanks,7-6(5) 6-2,3,59.0,34.0,96.0,ATP,6.0,2.0,28.0,25.0,20.0,1.0,1.0,Unknown
20240108,Auckland,250,Hard,R32,Daniel Altmaier,Marcos Giron,7-6(5) 6-2,3,57.0,60.0,92.0,ATP,5.0,1.0,35.0,25.0,14.0,3.0,5.0,Unknown
20240108,Auckland,250,Hard,R32,Nuno Borges,Alex Michelsen,0-6 7-6(6) 6-3,3,66.0,92.0,118.0,ATP,12.0,1.0,59.0,41.0,16.0,3.0,7.0,Unknown
20240108,Auckland,250,Hard,R32,Arthur Fils,Richard Gasquet,6-3 6-4,3,35.0,76.0,69.0,ATP,9.0,2.0,42.0,33.0,12.0,1.0,1.0,Unknown
20240108,Auckland,250,Hard,R32,Max Purcell,Kiranpal Pannu,6-4 6-4,3,45.0,716.0,87.0,ATP,10.0,0.0,31.0,29.0,13.0,2.0,2.0,Unknown
20240108,Auckland,250,Hard,R32,Taro Daniel,Aleksandar Vukic,7-5 7-5,3,74.0,63.0,99.0,ATP,6.0,5.0,49.0,38.0,10.0,5.0,7.0,Unknown
20240108,Auckland,250,Hard,R32,Alexandre Muller,Benjamin Bonzi,6-3 7-5,3,79.0,110.0,98.0,ATP,8.0,1.0,43.0,31.0,13.0,5.0,7.0,Unknown
20240108,Auckland,250,Hard,R32,Sebastian Ofner,Denis Shapovalov,6-4 6-2,3,37.0,116.0,68.0,ATP,5.0,1.0,32.0,27.0,10.0,2.0,2.0,Unknown
20240108,Auckland,250,Hard,R32,Roberto Carballes Baena,Roberto Bautista Agut,6-4 6-3,3,67.0,51.0,104.0,ATP,3.0,4.0,34.0,25.0,8.0,1.0,3.0,Unknown
20240108,Auckland,250,Hard,R32,Fabian Marozsan,Gael Monfils,6-4 6-7(6) 7-6(4),3,65.0,75.0,155.0,ATP,5.0,1.0,86.0,63.0,23.0,7.0,8.0,Unknown
20240108,Auckland,250,Hard,R16,Cameron Norrie,Luca Van Assche,6-3 6-7(6) 6-1,3,19.0,87.0,148.0,ATP,12.0,1.0,61.0,45.0,24.0,5.0,6.0,Unknown
20240108,Auckland,250,Hard,R16,Alejandro Tabilo,Botic van de Zandschulp,7-5 6-3,3,82.0,59.0,82.0,ATP,2.0,1.0,36.0,32.0,9.0,0.0,2.0,Unknown
20240108,Auckland,250,Hard,R16,Daniel Altmaier,Felix Auger-Aliassime,7-6(9) 7-5,3,57.0,27.0,154.0,ATP,5.0,4.0,60.0,44.0,17.0,8.0,9.0,Unknown
20240108,Auckland,250,Hard,R16,Arthur Fils,Nuno Borges,6-2 6-0,3,35.0,66.0,51.0,ATP,5.0,1.0,24.0,21.0,7.0,0.0,0.0,Unknown
20240108,Auckland,250,Hard,R16,Taro Daniel,Max Purcell,6-2 6-4,3,74.0,45.0,75.0,ATP,7.0,0.0,33.0,30.0,9.0,3.0,3.0,Unknown
20240108,Auckland,250,Hard,R16,Alexandre Muller,Francisco Cerundolo,6-1 6-1,3,79.0,22.0,66.0,ATP,2.0,0.0,29.0,18.0,10.0,0.0,2.0,Unknown
20240108,Auckland,250,Hard,R16,Roberto Carballes Baena,Sebastian Ofner,7-5 6-3,3,67.0,37.0,101.0,ATP,3.0,2.0,31.0,26.0,23.0,2.0,2.0,Unknown
20240108,Auckland,250,Hard,R16,Ben Shelton,Fabian Marozsan,6-3 6-4,3,16.0,65.0,71.0,ATP,10.0,3.0,40.0,32.0,9.0,2.0,3.0,Unknown
20240108,Auckland,250,Hard,QF,Alejandro Tabilo,Cameron Norrie,W/O,3,82.0,19.0,0.0,ATP,,,,,,,,Unknown
20240108,Auckland,250,Hard,QF,Arthur Fils,Daniel Altmaier,7-6(2) 1-0 RET,3,35.0,57.0,74.0,ATP,0.0,0.0,27.0,21.0,11.0,0.0,0.0,Unknown
20240108,Auckland,250,Hard,QF,Taro Daniel,Alexandre Muller,6-4 6-7(3) 6-3,3,74.0,79.0,159.0,ATP,9.0,5.0,66.0,48.0,23.0,8.0,10.0,Unknown
20240108,Auckland,250,Hard,QF,Ben Shelton,Roberto Carballes Baena,6-4 6-3,3,16.0,67.0,100.0,ATP,7.0,3.0,42.0,31.0,15.0,7.0,8.0,Unknown
20240108,Auckland,250,Hard,SF,Alejandro Tabilo,Arthur Fils,6-2 7-5,3,82.0,35.0,108.0,ATP,7.0,1.0,49.0,34.0,17.0,6.0,7.0,Unknown
20240108,Auckland,250,Hard,SF,Taro Daniel,Ben Shelton,7-5 7-6(9),3,74.0,16.0,120.0,ATP,3.0,2.0,53.0,43.0,21.0,3.0,3.0,Unknown
20240108,Auckland,250,Hard,F,Alejandro Tabilo,Taro Daniel,6-2 7-5,3,82.0,74.0,96.0,ATP,10.0,2.0,45.0,32.0,16.0,3.0,3.0,Unknown
