created_at,match_date,tournament,surface,player,opponent,confidence,predicted_winner,normalized_player,history_matches,reasons
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,D. Shadchneva,I. Heinzova,0.504,D. Shadchneva,d shadchneva,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,D. Smolinskaya,C. Korhonen,0.504,C. Korhonen,d smolinskaya,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville M01,Unknown,D. Wiley,"Hussey, Brady",0.504,D. Wiley,d wiley,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Umag Men 02,Clay,D. Zmak,P. Pouatcha,0.504,P. Pouatcha,d zmak,0,low_confidence;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,E. Baraniakova,H. Read,0.504,E. Baraniakova,e baraniakova,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,E. Brownback,K. Erickson,0.504,E. Brownback,e brownback,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,E. Crivei,F. Vazquez,0.504,F. Vazquez,e crivei,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,E. Ivanov,L. Cvanciger,0.504,L. Cvanciger,e ivanov,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,E. Mireles,L. Weir,0.504,E. Mireles,e mireles,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,E. Myers,M. Shelton,0.504,M. Shelton,e myers,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,Vanda Pharmaceuticals Mallorca Championships,Grass,Ethan Quinn,Alejandro Davidovich Fokina,0.5302,Alejandro Davidovich Fokina,ethan quinn,36,low_confidence
2026-06-26T20:30:04Z,2026-06-27,Târgu Mureș,Unknown,F. Balshaw,S. Nagal,0.504,S. Nagal,f balshaw,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,F. Vazquez,E. Crivei,0.504,F. Vazquez,f vazquez,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,G. Arangio,A. Wolf,0.504,A. Wolf,g arangio,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville M01,Unknown,G. Avram,D. Fishback,0.504,D. Fishback,g avram,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Men 01,Unknown,G. Bernadsky,R. Patil,0.504,G. Bernadsky,g bernadsky,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,G. Guenther,N. Oliver,0.504,N. Oliver,g guenther,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,G. Hakopian,A. Li,0.504,A. Li,g hakopian,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,G. Hornung,M. Markovits,0.504,G. Hornung,g hornung,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,G. Kulevich,L. Murphy,0.504,L. Murphy,g kulevich,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,G. Oboniye,C. Sauvant,0.504,C. Sauvant,g oboniye,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,G. Roach,N. Koppova,0.504,N. Koppova,g roach,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,G. Villegas,L. Murray,0.504,L. Murray,g villegas,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Umag Men 02,Clay,H. Best,D. Kos,0.504,D. Kos,h best,0,low_confidence;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,H. McAslin,L. Alexin,0.504,H. McAslin,h mcaslin,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,H. Read,E. Baraniakova,0.504,E. Baraniakova,h read,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville M01,Unknown,"Hussey, Brady",D. Wiley,0.504,D. Wiley,hussey brady,0,low_confidence;unknown_surface;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,I. Ashar,Z. Kubacha,0.504,I. Ashar,i ashar,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
